Symbol,Name,Sector
AIZ,Assurant Inc.,Financials
T,AT&T Inc.,Telecommunication Services
ADSK,Autodesk Inc.,Information Technology
ADP,Automatic Data Processing,Information Technology
AZO,AutoZone Inc,Consumer Discretionary
AVB,"AvalonBay Communities, Inc.",Real Estate
AVY,Avery Dennison Corp,Materials
BHGE,"Baker Hughes, a GE Company",Energy
BLL,Ball Corp,Materials
BAC,Bank of America Corp,Financials
BAX,Baxter International Inc.,Health Care
BBT,BB&T Corporation,Financials
BDX,Becton Dickinson,Health Care
BRK.B,Berkshire Hathaway,Financials
BBY,Best Buy Co. Inc.,Consumer Discretionary
BIIB,Biogen Inc.,Health Care
BLK,BlackRock,Financials
HRB,Block H&R,Financials
BA,Boeing Company,Industrials
BKNG,Booking Holdings Inc,Consumer Discretionary
BWA,BorgWarner,Consumer Discretionary
BXP,Boston Properties,Real Estate
BSX,Boston Scientific,Health Care
BHF,Brighthouse Financial Inc,Financials
BMY,Bristol-Myers Squibb,Health Care
AVGO,Broadcom,Information Technology
BF.B,Brown-Forman Corp.,Consumer Staples
CHRW,C. H. Robinson Worldwide,Industrials
CA,"CA, Inc.",Information Technology
COG,Cabot Oil & Gas,Energy
CDNS,Cadence Design Systems,Information Technology
CPB,Campbell Soup,Consumer Staples
COF,Capital One Financial,Financials
CAH,Cardinal Health Inc.,Health Care
KMX,Carmax Inc,Consumer Discretionary
CCL,Carnival Corp.,Consumer Discretionary
CAT,Caterpillar Inc.,Industrials
CBOE,Cboe Global Markets,Financials
CBRE,CBRE Group,Real Estate
CBS,CBS Corp.,Consumer Discretionary
CELG,Celgene Corp.,Health Care
CNC,Centene Corporation,Health Care
CNP,CenterPoint Energy,Utilities
CTL,CenturyLink Inc,Telecommunication Services
CERN,Cerner,Health Care
CF,CF Industries Holdings Inc,Materials
SCHW,Charles Schwab Corporation,Financials
CHTR,Charter Communications,Consumer Discretionary
CVX,Chevron Corp.,Energy
CMG,Chipotle Mexican Grill,Consumer Discretionary
CB,Chubb Limited,Financials
CHD,Church & Dwight,Consumer Staples
CI,CIGNA Corp.,Health Care
XEC,Cimarex Energy,Energy
CINF,Cincinnati Financial,Financials
CTAS,Cintas Corporation,Industrials
CSCO,Cisco Systems,Information Technology
C,Citigroup Inc.,Financials
CFG,Citizens Financial Group,Financials
CTXS,Citrix Systems,Information Technology
CME,CME Group Inc.,Financials
CMS,CMS Energy,Utilities
KO,Coca-Cola Company (The),Consumer Staples
CTSH,Cognizant Technology Solutions,Information Technology
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast Corp.,Consumer Discretionary
CMA,Comerica Inc.,Financials
CAG,Conagra Brands,Consumer Staples
CXO,Concho Resources,Energy
COP,ConocoPhillips,Energy
ED,Consolidated Edison,Utilities
STZ,Constellation Brands,Consumer Staples
GLW,Corning Inc.,Information Technology
COST,Costco Wholesale Corp.,Consumer Staples
COTY,"Coty, Inc",Consumer Staples
CCI,Crown Castle International Corp.,Real Estate
CSRA,CSRA Inc.,Information Technology
CSX,CSX Corp.,Industrials
CMI,Cummins Inc.,Industrials
CVS,CVS Health,Consumer Staples
DHI,D. R. Horton,Consumer Discretionary
DHR,Danaher Corp.,Health Care
DRI,Darden Restaurants,Consumer Discretionary
DVA,DaVita Inc.,Health Care
DE,Deere & Co.,Industrials
DAL,Delta Air Lines Inc.,Industrials
XRAY,Dentsply Sirona,Health Care
DVN,Devon Energy Corp.,Energy
DLR,Digital Realty Trust Inc,Real Estate
DFS,Discover Financial Services,Financials
DISCA,Discovery Inc. Class A,Consumer Discretionary
DISCK,Discovery Inc. Class C,Consumer Discretionary
DISH,Dish Network,Consumer Discretionary
DG,Dollar General,Consumer Discretionary
DLTR,Dollar Tree,Consumer Discretionary
D,Dominion Energy,Utilities
DOV,Dover Corp.,Industrials
DWDP,DowDuPont,Materials
DPS,Dr Pepper Snapple Group,Consumer Staples
DTE,DTE Energy Co.,Utilities
DUK,Duke Energy,Utilities
DRE,Duke Realty Corp,Real Estate
DXC,DXC Technology,Information Technology
ETFC,E*Trade,Financials
EMN,Eastman Chemical,Materials
ETN,Eaton Corporation,Industrials
EBAY,eBay Inc.,Information Technology
ECL,Ecolab Inc.,Materials
EIX,Edison Int'l,Utilities
EW,Edwards Lifesciences,Health Care
EA,Electronic Arts,Information Technology
EMR,Emerson Electric Company,Industrials
ETR,Entergy Corp.,Utilities
EVHC,Envision Healthcare,Health Care
EOG,EOG Resources,Energy
EQT,EQT Corporation,Energy
EFX,Equifax Inc.,Industrials
EQIX,Equinix,Real Estate
EQR,Equity Residential,Real Estate
ESS,"Essex Property Trust, Inc.",Real Estate
EL,Estee Lauder Cos.,Consumer Staples
RE,Everest Re Group Ltd.,Financials
ES,Eversource Energy,Utilities
EXC,Exelon Corp.,Utilities
EXPE,Expedia Inc.,Consumer Discretionary
EXPD,Expeditors International,Industrials
ESRX,Express Scripts,Health Care
EXR,Extra Space Storage,Real Estate
XOM,Exxon Mobil Corp.,Energy
FFIV,F5 Networks,Information Technology
FB,"Facebook, Inc.",Information Technology
FAST,Fastenal Co,Industrials
FRT,Federal Realty Investment Trust,Real Estate
FDX,FedEx Corporation,Industrials
FIS,Fidelity National Information Services,Information Technology
FITB,Fifth Third Bancorp,Financials
FE,FirstEnergy Corp,Utilities
FISV,Fiserv Inc,Information Technology
FLIR,FLIR Systems,Information Technology
FLS,Flowserve Corporation,Industrials
FLR,Fluor Corp.,Industrials
FMC,FMC Corporation,Materials
FL,Foot Locker Inc,Consumer Discretionary
F,Ford Motor,Consumer Discretionary
FTV,Fortive Corp,Industrials
FBHS,Fortune Brands Home & Security,Industrials
BEN,Franklin Resources,Financials
FCX,Freeport-McMoRan Inc.,Materials
GPS,Gap Inc.,Consumer Discretionary
GRMN,Garmin Ltd.,Consumer Discretionary
IT,Gartner Inc,Information Technology
GD,General Dynamics,Industrials
GE,General Electric,Industrials
GGP,General Growth Properties Inc.,Real Estate
GIS,General Mills,Consumer Staples
GM,General Motors,Consumer Discretionary
GPC,Genuine Parts,Consumer Discretionary
GILD,Gilead Sciences,Health Care
GPN,Global Payments Inc.,Information Technology
GS,Goldman Sachs Group,Financials
GT,Goodyear Tire & Rubber,Consumer Discretionary
GWW,Grainger (W.W.) Inc.,Industrials
HAL,Halliburton Co.,Energy
HBI,Hanesbrands Inc,Consumer Discretionary
HOG,Harley-Davidson,Consumer Discretionary
HRS,Harris Corporation,Information Technology
HIG,Hartford Financial Svc.Gp.,Financials
HAS,Hasbro Inc.,Consumer Discretionary
HCA,HCA Holdings,Health Care
HCP,HCP Inc.,Real Estate
HP,Helmerich & Payne,Energy
HSIC,Henry Schein,Health Care
HES,Hess Corporation,Energy
HPE,Hewlett Packard Enterprise,Information Technology
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary
HOLX,Hologic,Health Care
HD,Home Depot,Consumer Discretionary
HON,Honeywell Int'l Inc.,Industrials
HRL,Hormel Foods Corp.,Consumer Staples
HST,Host Hotels & Resorts,Real Estate
HPQ,HP Inc.,Information Technology
HUM,Humana Inc.,Health Care
HBAN,Huntington Bancshares,Financials
HII,Huntington Ingalls Industries,Industrials
IDXX,IDEXX Laboratories,Health Care
INFO,IHS Markit Ltd.,Industrials
ITW,Illinois Tool Works,Industrials
ILMN,Illumina Inc,Health Care
INCY,Incyte,Health Care
IR,Ingersoll-Rand PLC,Industrials
INTC,Intel Corp.,Information Technology
ICE,Intercontinental Exchange,Financials
IBM,International Business Machines,Information Technology
IP,International Paper,Materials
IPG,Interpublic Group,Consumer Discretionary
IFF,Intl Flavors & Fragrances,Materials
INTU,Intuit Inc.,Information Technology
ISRG,Intuitive Surgical Inc.,Health Care
IVZ,Invesco Ltd.,Financials
IPGP,IPG Photonics Corp.,Information Technology
IQV,IQVIA Holdings Inc.,Health Care
IRM,Iron Mountain Incorporated,Real Estate
JBHT,J. B. Hunt Transport Services,Industrials
JEC,Jacobs Engineering Group,Industrials
SJM,JM Smucker,Consumer Staples
JNJ,Johnson & Johnson,Health Care
JCI,Johnson Controls International,Industrials
JPM,JPMorgan Chase & Co.,Financials
JNPR,Juniper Networks,Information Technology
KSU,Kansas City Southern,Industrials
K,Kellogg Co.,Consumer Staples
KEY,KeyCorp,Financials
KMB,Kimberly-Clark,Consumer Staples
KIM,Kimco Realty,Real Estate
KMI,Kinder Morgan,Energy
KLAC,KLA-Tencor Corp.,Information Technology
KSS,Kohl's Corp.,Consumer Discretionary
KHC,Kraft Heinz Co,Consumer Staples
KR,Kroger Co.,Consumer Staples
LB,L Brands Inc.,Consumer Discretionary
LLL,L-3 Communications Holdings,Industrials
LH,Laboratory Corp. of America Holding,Health Care
LRCX,Lam Research,Information Technology
LEG,Leggett & Platt,Consumer Discretionary
LEN,Lennar Corp.,Consumer Discretionary
LUK,Leucadia National Corp.,Financials
LLY,Lilly (Eli) & Co.,Health Care
LNC,Lincoln National,Financials
LKQ,LKQ Corporation,Consumer Discretionary
LMT,Lockheed Martin Corp.,Industrials
L,Loews Corp.,Financials
LOW,Lowe's Cos.,Consumer Discretionary
LYB,LyondellBasell,Materials
MTB,M&T Bank Corp.,Financials
MAC,Macerich,Real Estate
M,Macy's Inc.,Consumer Discretionary
MRO,Marathon Oil Corp.,Energy
MPC,Marathon Petroleum,Energy
MAR,Marriott Int'l.,Consumer Discretionary
MMC,Marsh & McLennan,Financials
MLM,Martin Marietta Materials,Materials
MAS,Masco Corp.,Industrials
MA,Mastercard Inc.,Information Technology
MAT,Mattel Inc.,Consumer Discretionary
MKC,McCormick & Co.,Consumer Staples
MCD,McDonald's Corp.,Consumer Discretionary
MCK,McKesson Corp.,Health Care
MDT,Medtronic plc,Health Care
MRK,Merck & Co.,Health Care
MET,MetLife Inc.,Financials
MTD,Mettler Toledo,Health Care
MGM,MGM Resorts International,Consumer Discretionary
KORS,Michael Kors Holdings,Consumer Discretionary
MCHP,Microchip Technology,Information Technology
MU,Micron Technology,Information Technology
MSFT,Microsoft Corp.,Information Technology
MAA,Mid-America Apartments,Real Estate
MHK,Mohawk Industries,Consumer Discretionary
TAP,Molson Coors Brewing Company,Consumer Staples
MDLZ,Mondelez International,Consumer Staples
MON,Monsanto Co.,Materials
MNST,Monster Beverage,Consumer Staples
MCO,Moody's Corp,Financials
MS,Morgan Stanley,Financials
MSI,Motorola Solutions Inc.,Information Technology
MYL,Mylan N.V.,Health Care
NDAQ,"Nasdaq, Inc.",Financials
NOV,National Oilwell Varco Inc.,Energy
NAVI,Navient,Financials
NKTR,Nektar Therapeutics,Health Care
NTAP,NetApp,Information Technology
NFLX,Netflix Inc.,Information Technology
NWL,Newell Brands,Consumer Discretionary
NFX,Newfield Exploration Co,Energy
NEM,Newmont Mining Corporation,Materials
NWSA,News Corp. Class A,Consumer Discretionary
NWS,News Corp. Class B,Consumer Discretionary
NEE,NextEra Energy,Utilities
NLSN,Nielsen Holdings,Industrials
NKE,Nike,Consumer Discretionary
NI,NiSource Inc.,Utilities
NBL,Noble Energy Inc,Energy
JWN,Nordstrom,Consumer Discretionary
NSC,Norfolk Southern Corp.,Industrials
NTRS,Northern Trust Corp.,Financials
NOC,Northrop Grumman Corp.,Industrials
NCLH,Norwegian Cruise Line,Consumer Discretionary
NRG,NRG Energy,Utilities
NUE,Nucor Corp.,Materials
NVDA,Nvidia Corporation,Information Technology
ORLY,O'Reilly Automotive,Consumer Discretionary
OXY,Occidental Petroleum,Energy
OMC,Omnicom Group,Consumer Discretionary
OKE,ONEOK,Energy
ORCL,Oracle Corp.,Information Technology
PCAR,PACCAR Inc.,Industrials
PKG,Packaging Corporation of America,Materials
PH,Parker-Hannifin,Industrials
PAYX,Paychex Inc.,Information Technology
PYPL,PayPal,Information Technology
PNR,Pentair Ltd.,Industrials
PBCT,People's United Financial,Financials
PEP,PepsiCo Inc.,Consumer Staples
PKI,PerkinElmer,Health Care
PRGO,Perrigo,Health Care
PFE,Pfizer Inc.,Health Care
PCG,PG&E Corp.,Utilities
PM,Philip Morris International,Consumer Staples
PSX,Phillips 66,Energy
PNW,Pinnacle West Capital,Utilities
PXD,Pioneer Natural Resources,Energy
PNC,PNC Financial Services,Financials
RL,Polo Ralph Lauren Corp.,Consumer Discretionary
PPG,PPG Industries,Materials
PPL,PPL Corp.,Utilities
PX,Praxair Inc.,Materials
PFG,Principal Financial Group,Financials
PG,Procter & Gamble,Consumer Staples
PGR,Progressive Corp.,Financials
PLD,Prologis,Real Estate
PRU,Prudential Financial,Financials
PEG,Public Serv. Enterprise Inc.,Utilities
PSA,Public Storage,Real Estate
PHM,Pulte Homes Inc.,Consumer Discretionary
PVH,PVH Corp.,Consumer Discretionary
QRVO,Qorvo,Information Technology
QCOM,QUALCOMM Inc.,Information Technology
PWR,Quanta Services Inc.,Industrials
DGX,Quest Diagnostics,Health Care
RRC,Range Resources Corp.,Energy
RJF,Raymond James Financial Inc.,Financials
RTN,Raytheon Co.,Industrials
O,Realty Income Corporation,Real Estate
RHT,Red Hat Inc.,Information Technology
REG,Regency Centers Corporation,Real Estate
REGN,Regeneron,Health Care
RF,Regions Financial Corp.,Financials
RSG,Republic Services Inc,Industrials
RMD,ResMed,Health Care
RHI,Robert Half International,Industrials
ROK,Rockwell Automation Inc.,Industrials
COL,Rockwell Collins,Industrials
ROP,Roper Technologies,Industrials
ROST,Ross Stores,Consumer Discretionary
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary
SPGI,"S&P Global, Inc.",Financials
CRM,Salesforce.com,Information Technology
SBAC,SBA Communications,Real Estate
SCG,SCANA Corp,Utilities
SLB,Schlumberger Ltd.,Energy
STX,Seagate Technology,Information Technology
SEE,Sealed Air,Materials
SRE,Sempra Energy,Utilities
SHW,Sherwin-Williams,Materials
SPG,Simon Property Group Inc,Real Estate
SWKS,Skyworks Solutions,Information Technology
SLG,SL Green Realty,Real Estate
SNA,Snap-On Inc.,Consumer Discretionary
SO,Southern Co.,Utilities
LUV,Southwest Airlines,Industrials
SWK,Stanley Black & Decker,Consumer Discretionary
SBUX,Starbucks Corp.,Consumer Discretionary
STT,State Street Corp.,Financials
SRCL,Stericycle Inc,Industrials
SYK,Stryker Corp.,Health Care
STI,SunTrust Banks,Financials
SIVB,SVB Financial,Financials
SYMC,Symantec Corp.,Information Technology
SYF,Synchrony Financial,Financials
SNPS,Synopsys Inc.,Information Technology
SYY,Sysco Corp.,Consumer Staples
TROW,T. Rowe Price Group,Financials
TTWO,Take-Two Interactive,Information Technology
TPR,"Tapestry, Inc.",Consumer Discretionary
TGT,Target Corp.,Consumer Discretionary
TEL,TE Connectivity Ltd.,Information Technology
FTI,TechnipFMC,Energy
TXN,Texas Instruments,Information Technology
TXT,Textron Inc.,Industrials
BK,The Bank of New York Mellon Corp.,Financials
CLX,The Clorox Company,Consumer Staples
COO,The Cooper Companies,Health Care
HSY,The Hershey Company,Consumer Staples
MOS,The Mosaic Company,Materials
TRV,The Travelers Companies Inc.,Financials
DIS,The Walt Disney Company,Consumer Discretionary
TMO,Thermo Fisher Scientific,Health Care
TIF,Tiffany & Co.,Consumer Discretionary
TWX,Time Warner Inc.,Consumer Discretionary
TJX,TJX Companies Inc.,Consumer Discretionary
TMK,Torchmark Corp.,Financials
TSS,Total System Services,Information Technology
TSCO,Tractor Supply Company,Consumer Discretionary
TDG,TransDigm Group,Industrials
TRIP,TripAdvisor,Consumer Discretionary
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary
FOX,Twenty-First Century Fox Class B,Consumer Discretionary
TSN,Tyson Foods,Consumer Staples
USB,U.S. Bancorp,Financials
UDR,UDR Inc,Real Estate
ULTA,Ulta Beauty,Consumer Discretionary
UAA,Under Armour Class A,Consumer Discretionary
UA,Under Armour Class C,Consumer Discretionary
UNP,Union Pacific,Industrials
UAL,United Continental Holdings,Industrials
UNH,United Health Group Inc.,Health Care
UPS,United Parcel Service,Industrials
URI,"United Rentals, Inc.",Industrials
UTX,United Technologies,Industrials
UHS,"Universal Health Services, Inc.",Health Care
UNM,Unum Group,Financials
VFC,V.F. Corp.,Consumer Discretionary
VLO,Valero Energy,Energy
VAR,Varian Medical Systems,Health Care
VTR,Ventas Inc,Real Estate
VRSN,Verisign Inc.,Information Technology
VRSK,Verisk Analytics,Industrials
VZ,Verizon Communications,Telecommunication Services
VRTX,Vertex Pharmaceuticals Inc,Health Care
VIAB,Viacom Inc.,Consumer Discretionary
V,Visa Inc.,Information Technology
VNO,Vornado Realty Trust,Real Estate
VMC,Vulcan Materials,Materials
WMT,Wal-Mart Stores,Consumer Staples
WBA,Walgreens Boots Alliance,Consumer Staples
WM,Waste Management Inc.,Industrials
WAT,Waters Corporation,Health Care
WEC,Wec Energy Group Inc,Utilities
WFC,Wells Fargo,Financials
WELL,Welltower Inc.,Real Estate
WDC,Western Digital,Information Technology
WU,Western Union Co,Information Technology
WRK,WestRock Company,Materials
WY,Weyerhaeuser Corp.,Real Estate
WHR,Whirlpool Corp.,Consumer Discretionary
WMB,Williams Cos.,Energy
WLTW,Willis Towers Watson,Financials
WYN,Wyndham Worldwide,Consumer Discretionary
WYNN,Wynn Resorts Ltd,Consumer Discretionary
XEL,Xcel Energy Inc,Utilities
XRX,Xerox Corp.,Information Technology
XLNX,Xilinx Inc,Information Technology
XL,XL Capital,Financials
XYL,Xylem Inc.,Industrials
YUM,Yum! Brands Inc,Consumer Discretionary
ZBH,Zimmer Biomet Holdings,Health Care
ZION,Zions Bancorp,Financials
ZTS,Zoetis,Health Care
