#symbol_id,symbol_value,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
AAPL R735QTJ8XC9X,AAPL,93.8900,93.8900,93.8600,93.7700,1201,,,,,,,
AAPL VXBK560WN2UE|AAPL R735QTJ8XC9X,AAPL  150117C00034290,59.6000,59.6500,59.6000,59.6500,0,56,2.0633956,0.7496068,0.0011595,0.1008806,0.0113298,0.0785919
AAPL W78ZF3T6EY3Q|AAPL R735QTJ8XC9X,AAPL  160115C00034290,58.6900,58.6900,58.6900,58.6900,0,542,0,0.6074203,0.0000000,0.0000000,0.0473901,0.5393442
AAPL VSCCRPUVU2CM|AAPL R735QTJ8XC9X,AAPL  140719C00035000,59.0250,59.7250,57.1250,57.1500,0,,2.5961119,0.9119501,0.0015720,0.0332206,-0.0481439,0.0266168
AAPL VSCCS63O5ANA|AAPL R735QTJ8XC9X,AAPL  140719C00035710,58.3000,58.9750,56.4000,56.4500,0,,2.5506880,0.9105974,0.0016294,0.0338295,-0.0483241,0.0271842
AAPL VXBK56OE2LUU|AAPL R735QTJ8XC9X,AAPL  150117C00035710,58.0000,58.0000,58.0000,58.0000,0,1171,0,0.8293959,0.0000000,0.0000000,0.0649285,0.2123284
AAPL W78ZF4GNUH46|AAPL R735QTJ8XC9X,AAPL  160115C00035710,58.2500,58.8750,55.4500,56.4250,0,56,0,0.6074203,0.0000000,0.0000000,0.0473613,0.5616792
AAPL VSCCS6FKTE7A|AAPL R735QTJ8XC9X,AAPL  140719C00036430,57.6000,58.2500,55.6500,55.6750,0,,2.4866207,0.9098863,0.0016871,0.0341478,-0.0464841,0.0278838
AAPL VSCCS6RBJ5PI|AAPL R735QTJ8XC9X,AAPL  140719C00037140,56.8750,57.5500,54.9500,55.0000,0,,2.4506139,0.9082403,0.0017485,0.0348798,-0.0474087,0.0283998
AAPL VUTYGP1OHTBA|AAPL R735QTJ8XC9X,AAPL  141018C00037140,56.8000,57.5250,54.9500,55.0250,0,,2.0674640,0.8050340,0.0015856,0.0870662,-0.0075337,0.0669705
AAPL VXBK57C1GGX2|AAPL R735QTJ8XC9X,AAPL  150117C00037140,56.5750,57.3250,54.4000,55.0750,0,833,0,0.8293959,0.0000000,0.0000000,0.0648993,0.2208310
AAPL W78ZF54B8C6E|AAPL R735QTJ8XC9X,AAPL  160115C00037140,56.7000,57.4500,54.0250,55.0250,0,14,0,0.6074203,0.0000000,0.0000000,0.0473322,0.5841716
AAPL VRKS9KUI24RQ|AAPL R735QTJ8XC9X,AAPL  140621C00037860,57.4000,57.4000,57.4000,57.4000,0,10,2.0660459,0.9919962,0.0001379,0.0005278,0.0709405,0.0082710
AAPL VSCCS738799I|AAPL R735QTJ8XC9X,AAPL  140719C00037860,56.1500,56.8750,54.2000,54.3000,0,,2.4103574,0.9067096,0.0018121,0.0355546,-0.0478505,0.0289509
AAPL VT3XATBYCDRA|AAPL R735QTJ8XC9X,AAPL  140816C00037860,55.9000,56.8750,54.2750,54.3500,0,,2.1872095,0.8660686,0.0018422,0.0569240,-0.0292322,0.0448059
AAPL VUTYGPDL5WVA|AAPL R735QTJ8XC9X,AAPL  141018C00037860,55.8500,56.8250,54.2750,54.3500,0,,2.0332056,0.8026095,0.0016432,0.0887303,-0.0078926,0.0685409
AAPL VXBK57NY4KH2|AAPL R735QTJ8XC9X,AAPL  150117C00037860,56.0750,56.6500,53.5250,54.3750,0,,2.0362108,0.7397572,0.0012788,0.1097975,0.0069999,0.0828699
AAPL VRKS9L68RW9Y|AAPL R735QTJ8XC9X,AAPL  140621C00038570,55.1250,56.1500,53.6000,53.6500,0,,2.0240866,0.9919760,0.0001430,0.0005362,0.0709564,0.0084262
AAPL VSCCS7EYX0RQ|AAPL R735QTJ8XC9X,AAPL  140719C00038570,55.4500,56.1500,53.5250,53.5750,0,,2.3617994,0.9055602,0.0018756,0.0360577,-0.0472066,0.0295613
AAPL VT3XATNP259I|AAPL R735QTJ8XC9X,AAPL  140816C00038570,55.1750,56.1750,53.5750,53.6000,0,,0.7624249,0.9435075,0.0003320,0.0035755,0.0717778,0.0669934
AAPL VUTYGPPBVODI|AAPL R735QTJ8XC9X,AAPL  141018C00038570,55.1250,56.1250,53.5750,53.6250,0,,1.9936321,0.8002256,0.0017063,0.0903472,-0.0079785,0.0702982
AAPL VXBK57ZOUBZA|AAPL R735QTJ8XC9X,AAPL  150117C00038570,53.7800,53.7800,53.7800,53.7800,7,560,0,0.8293959,0.0000000,0.0000000,0.0648700,0.2293337
AAPL W78ZF5RYM78M|AAPL R735QTJ8XC9X,AAPL  160115C00038570,55.0500,56.1000,52.6750,53.5750,0,14,0,0.6074203,0.0000000,0.0000000,0.0473032,0.6066639
AAPL VRKS9LI5FZTY|AAPL R735QTJ8XC9X,AAPL  140621C00039290,55.3000,55.3000,55.3000,55.3000,0,9845,1.9819754,0.9919570,0.0001481,0.0005441,0.0709841,0.0085836
AAPL VSCCS7QVL4BQ|AAPL R735QTJ8XC9X,AAPL  140719C00039290,54.7250,55.4000,52.8000,52.8500,0,,2.3163374,0.9042705,0.0019421,0.0366186,-0.0468488,0.0301592
AAPL VT3XATZLQ8TI|AAPL R735QTJ8XC9X,AAPL  140816C00039290,54.4500,55.4500,52.8250,52.8750,0,,0.7460591,0.9434479,0.0003452,0.0036382,0.0717676,0.0682447
AAPL VUTYGQ18JRXI|AAPL R735QTJ8XC9X,AAPL  141018C00039290,54.6500,55.3750,52.8250,52.8750,0,,1.9528816,0.7977990,0.0017733,0.0919741,-0.0079827,0.0721288
AAPL VXBK58BLIFJA|AAPL R735QTJ8XC9X,AAPL  150117C00039290,54.6500,55.2000,52.4750,52.9250,0,,1.9544140,0.7338769,0.0013943,0.1149043,0.0062865,0.0882899
AAPL VRKS93H16PHI|AAPL R735QTJ8XC9X,AAPL  140621C00040000,53.7250,54.7000,52.1250,52.1500,0,7,0,0.9931590,0.0000000,0.0000000,0.0778015,0.0087657
AAPL VSCCRPPRBTZA|AAPL R735QTJ8XC9X,AAPL  140719C00040000,54.0250,54.7000,52.1250,52.1500,0,,2.2764643,0.9028066,0.0020103,0.0372506,-0.0469466,0.0307163
AAPL VT3XABYHGYH2|AAPL R735QTJ8XC9X,AAPL  140816C00040000,53.7500,54.7000,52.1250,52.2000,0,,0.7303720,0.9433829,0.0003592,0.0037063,0.0717537,0.0694775
AAPL VUTYG804AHL2|AAPL R735QTJ8XC9X,AAPL  141018C00040000,53.9500,54.6750,52.1000,52.1750,0,,1.9179067,0.7953583,0.0018374,0.0935912,-0.0081403,0.0737809
AAPL VXBK4QAH956U|AAPL R735QTJ8XC9X,AAPL  150117C00040000,54.1500,54.5250,51.6250,52.3250,0,196,0,0.8293959,0.0000000,0.0000000,0.0648408,0.2378363
AAPL W78ZEO2R10G6|AAPL R735QTJ8XC9X,AAPL  160115C00040000,52.3500,52.3500,52.3500,52.3500,1,70,0,0.6074203,0.0000000,0.0000000,0.0472742,0.6291562
AAPL VRKS9M5MVIUE|AAPL R735QTJ8XC9X,AAPL  140621C00040710,53.0000,53.5500,51.4000,51.5000,0,9807,1.9058917,0.9918908,0.0001618,0.0005714,0.0708823,0.0088934
AAPL VSCCS8ED0NC6|AAPL R735QTJ8XC9X,AAPL  140719C00040710,53.3000,54.0000,51.3750,51.4250,0,,2.2306928,0.9016182,0.0020796,0.0377601,-0.0462638,0.0313232
AAPL VT3XAUN35RTY|AAPL R735QTJ8XC9X,AAPL  140816C00040710,53.0500,54.0000,51.4250,51.4750,0,14,0.7150360,0.9433139,0.0003740,0.0037785,0.0717379,0.0707097
AAPL VUTYGQOPZAXY|AAPL R735QTJ8XC9X,AAPL  141018C00040710,53.0000,53.9750,51.4000,51.4750,0,,1.8837136,0.7928924,0.0019030,0.0952060,-0.0082828,0.0754249
AAPL VXBK58Z2XYJQ|AAPL R735QTJ8XC9X,AAPL  150117C00040710,52.7750,53.8000,50.8500,51.4750,0,,1.8769599,0.7279376,0.0015151,0.1199070,0.0056854,0.0936774
AAPL VRKS9MHJJMEE|AAPL R735QTJ8XC9X,AAPL  140621C00041430,52.2750,53.3000,50.6500,50.7250,0,,1.8658092,0.9918712,0.0001676,0.0005795,0.0709150,0.0090508
AAPL VSCCS8Q9OQW6|AAPL R735QTJ8XC9X,AAPL  140719C00041430,52.6000,53.2500,50.7000,50.7250,0,14,0,0.9695820,0.0000000,0.0000000,0.0759061,0.0408322
AAPL VT3XAUYZTVDY|AAPL R735QTJ8XC9X,AAPL  140816C00041430,52.5000,53.3250,50.7250,50.7500,0,,0.6996945,0.9432442,0.0003896,0.0038512,0.0717233,0.0719592
AAPL VUTYGR0MNEHY|AAPL R735QTJ8XC9X,AAPL  141018C00041430,52.5000,53.2500,50.6750,50.7500,0,,1.6038823,0.7947522,0.0022065,0.0939899,0.0030547,0.0866786
AAPL VXBK59AZM23Q|AAPL R735QTJ8XC9X,AAPL  150117C00041430,52.5000,53.0750,50.1750,50.7750,0,56,2.2900926,0.7393410,0.0011409,0.1101642,0.0004151,0.0729348
AAPL W78ZF739DXD2|AAPL R735QTJ8XC9X,AAPL  160115C00041430,50.7200,50.7200,50.7200,50.7200,5,14,0,0.6074203,0.0000000,0.0000000,0.0472451,0.6516486
AAPL VRKS9MTA9DWM|AAPL R735QTJ8XC9X,AAPL  140621C00042140,51.6250,52.5500,49.9500,50.0250,0,,1.8275162,0.9918480,0.0001740,0.0005890,0.0709285,0.0092060
AAPL VSCCS920EIEE|AAPL R735QTJ8XC9X,AAPL  140719C00042140,51.8750,52.5750,49.9750,50.1000,0,,2.1757244,0.8975206,0.0022299,0.0394930,-0.0489614,0.0322572
AAPL VT3XAVAQJMW6|AAPL R735QTJ8XC9X,AAPL  140816C00042140,51.8000,52.6000,50.0000,50.0250,0,,0.6848276,0.9431735,0.0004057,0.0039247,0.0717087,0.0731911
AAPL VUTYGRCDD606|AAPL R735QTJ8XC9X,AAPL  141018C00042140,51.8000,52.5250,50.0000,50.0250,0,,1.8129905,0.7878840,0.0020441,0.0984276,-0.0083482,0.0788624
AAPL VXBK59MQBTLY|AAPL R735QTJ8XC9X,AAPL  150117C00042140,51.8000,52.3500,49.3250,50.1000,0,91,0,0.8293959,0.0000000,0.0000000,0.0647970,0.2505606
AAPL VRKS9N56XHGM|AAPL R735QTJ8XC9X,AAPL  140621C00042860,50.8250,51.8250,49.2500,49.3000,0,56,0,0.9931590,0.0000000,0.0000000,0.0777427,0.0093924
AAPL VSCCS9DX2LYE|AAPL R735QTJ8XC9X,AAPL  140719C00042860,51.1500,51.8250,49.2250,49.2750,0,28,0,0.9695820,0.0000000,0.0000000,0.0758768,0.0422416
AAPL VT3XAVMN7QG6|AAPL R735QTJ8XC9X,AAPL  140816C00042860,50.9000,51.8250,49.2750,49.3250,0,,0.6700245,0.9430993,0.0004228,0.0040017,0.0716932,0.0744399
AAPL VUTYGROA19K6|AAPL R735QTJ8XC9X,AAPL  141018C00042860,50.8500,51.8250,49.2500,49.3250,0,112,0,0.8967538,0.0000000,0.0000000,0.0701130,0.1487407
AAPL VXBK59YMZX5Y|AAPL R735QTJ8XC9X,AAPL  150117C00042860,50.0000,50.0000,49.8300,49.8300,21,11769,0,0.8293959,0.0000000,0.0000000,0.0647823,0.2548416
AAPL W78ZF7QWRSFA|AAPL R735QTJ8XC9X,AAPL  160115C00042860,50.1000,50.1000,50.1000,50.1000,14,3037,0,0.6074203,0.0000000,0.0000000,0.0472161,0.6741409
AAPL VRKS9NGXN8YU|AAPL R735QTJ8XC9X,AAPL  140621C00043570,50.1250,51.1250,48.5500,48.5750,0,,1.7554201,0.9917782,0.0001899,0.0006176,0.0708454,0.0095179
AAPL VSCCS9PNSDGM|AAPL R735QTJ8XC9X,AAPL  140719C00043570,50.4500,51.1000,48.5250,48.6750,0,,2.0973152,0.8945089,0.0023866,0.0407438,-0.0485662,0.0333887
AAPL VT3XAVYDXHYE|AAPL R735QTJ8XC9X,AAPL  140816C00043570,50.2000,51.1500,48.5750,48.6250,0,,0.6556852,0.9430233,0.0004405,0.0040803,0.0716774,0.0756709
AAPL VUTYGS00R12E|AAPL R735QTJ8XC9X,AAPL  141018C00043570,50.1250,51.1000,48.5500,48.6250,0,,1.5163262,0.7877199,0.0024467,0.0985319,0.0029959,0.0918479
AAPL VXBK5AADPOO6|AAPL R735QTJ8XC9X,AAPL  150117C00043570,50.1500,50.9250,47.9250,48.6250,0,,1.7385060,0.7158397,0.0017685,0.1296406,0.0046186,0.1040330
AAPL VRKS9NSUBCIU|AAPL R735QTJ8XC9X,AAPL  140621C00044290,49.5250,50.0250,47.7750,47.8500,0,1750,1.7173865,0.9917603,0.0001964,0.0006249,0.0708979,0.0096753
AAPL VSCCSA1KGH0M|AAPL R735QTJ8XC9X,AAPL  140719C00044290,49.7000,49.7000,49.7000,49.7000,0,14,0,0.9695820,0.0000000,0.0000000,0.0758474,0.0436510
AAPL VT3XAWAALLIE|AAPL R735QTJ8XC9X,AAPL  140816C00044290,49.6500,50.4250,47.8500,47.8750,0,,0.6413840,0.9429439,0.0004594,0.0041623,0.0716610,0.0769188
AAPL VUTYGSBXF4ME|AAPL R735QTJ8XC9X,AAPL  141018C00044290,49.6500,50.3750,47.8250,47.8750,0,,1.7151326,0.7801168,0.0022672,0.1032755,-0.0084740,0.0838499
AAPL VXBK5AMADS86|AAPL R735QTJ8XC9X,AAPL  150117C00044290,48.5000,48.5000,48.5000,48.5000,7,406,0,0.8293959,0.0000000,0.0000000,0.0647530,0.2633443
AAPL W78ZF8EK5NHI|AAPL R735QTJ8XC9X,AAPL  160115C00044290,48.8100,48.8100,48.8100,48.8100,0,177,0,0.6074203,0.0000000,0.0000000,0.0471871,0.6966332
AAPL VRKS93NT8ACM|AAPL R735QTJ8XC9X,AAPL  140621C00045000,48.7500,49.7000,47.1250,47.1750,0,,1.6819995,0.9917312,0.0002043,0.0006368,0.0708943,0.0098303
AAPL VSCCRPWJDEUE|AAPL R735QTJ8XC9X,AAPL  140719C00045000,49.0250,49.7000,47.0750,47.1750,0,,2.0036098,0.8923904,0.0025515,0.0416124,-0.0458752,0.0346754
AAPL VT3XAC59IJC6|AAPL R735QTJ8XC9X,AAPL  140816C00045000,48.7500,49.7250,47.1250,47.1750,0,,0.6275389,0.9428618,0.0004790,0.0042467,0.0716437,0.0781488
AAPL VUTYG86WC2G6|AAPL R735QTJ8XC9X,AAPL  141018C00045000,48.7000,49.6750,47.1000,47.1750,0,,1.6850469,0.7774777,0.0023436,0.1048829,-0.0085354,0.0854383
AAPL VXBK4QH9AQ1Y|AAPL R735QTJ8XC9X,AAPL  150117C00045000,49.0000,49.0000,49.0000,49.0000,0,43,1.3669608,0.7047068,0.0023958,0.1380890,0.0120415,0.1314950
AAPL VRKS9OGBQVJA|AAPL R735QTJ8XC9X,AAPL  140621C00045710,48.1000,48.5750,46.3250,46.4500,0,1743,1.6480221,0.9916944,0.0002134,0.0006517,0.0708582,0.0099852
AAPL VSCCSAP1W012|AAPL R735QTJ8XC9X,AAPL  140719C00045710,48.3000,48.8750,46.3750,46.4500,0,,1.9630342,0.8910648,0.0026379,0.0421514,-0.0451168,0.0352698
AAPL VT3XAWXS14IU|AAPL R735QTJ8XC9X,AAPL  140816C00045710,48.0500,49.0000,46.4250,46.4750,0,,0.6138285,0.9427807,0.0004993,0.0043299,0.0716285,0.0793790
AAPL VUTYGSZEUNMU|AAPL R735QTJ8XC9X,AAPL  141018C00045710,48.0000,48.9750,46.4000,46.4750,0,,1.6555197,0.7748045,0.0024220,0.1064909,-0.0085852,0.0870158
AAPL VXBK5B9RTB8M|AAPL R735QTJ8XC9X,AAPL  150117C00045710,46.2500,46.2500,46.2500,46.2500,42,672,0,0.8293959,0.0000000,0.0000000,0.0647240,0.2717875
AAPL VZS6DQ6YP7OM|AAPL R735QTJ8XC9X,AAPL  150417C00045710,47.3500,47.3500,47.3500,47.3500,1,1,0.2194555,0.7596293,0.0015058,0.0182235,0.0585699,0.3764929
AAPL W78ZF921L6HY|AAPL R735QTJ8XC9X,AAPL  160115C00045710,48.0000,48.3500,48.0000,48.3500,0,512,0,0.6074203,0.0000000,0.0000000,0.0471582,0.7189683
AAPL VRKS9OS8EZ3A|AAPL R735QTJ8XC9X,AAPL  140621C00046430,47.3000,48.2750,45.7000,45.7750,0,,2.8066490,0.9608046,0.0019001,0.0098812,-0.0981507,0.0093959
AAPL VSCCSB0YK3L2|AAPL R735QTJ8XC9X,AAPL  140719C00046430,47.6000,48.2500,45.7750,45.7750,0,,1.9366350,0.8888627,0.0027302,0.0430389,-0.0461425,0.0357352
AAPL VT3XAX9OP82U|AAPL R735QTJ8XC9X,AAPL  140816C00046430,47.3250,48.3000,45.7500,45.7750,0,,0.6001375,0.9426960,0.0005209,0.0044166,0.0716128,0.0806261
AAPL VUTYGTBBIR6U|AAPL R735QTJ8XC9X,AAPL  141018C00046430,47.5000,48.2750,45.7250,45.7750,0,,1.6270341,0.7720436,0.0025023,0.1081309,-0.0086692,0.0885651
AAPL VXBK5BLOHESM|AAPL R735QTJ8XC9X,AAPL  150117C00046430,47.5250,48.0750,45.1750,45.7750,0,161,0,0.8293959,0.0000000,0.0000000,0.0647092,0.2760685
AAPL VZS6DQIVDB8M|AAPL R735QTJ8XC9X,AAPL  150417C00046430,47.3500,48.5500,46.0250,46.1000,0,,0.2151448,0.7588014,0.0016712,0.0198276,0.0584481,0.3818434
AAPL VRKS9P3Z4QLI|AAPL R735QTJ8XC9X,AAPL  140621C00047140,46.6250,47.5500,45.0000,45.0750,0,14,0,0.9931590,0.0000000,0.0000000,0.0776548,0.0103304
AAPL VSCCSBCP9V3A|AAPL R735QTJ8XC9X,AAPL  140719C00047140,46.8750,47.5250,45.1750,45.1750,0,,1.9256938,0.8857469,0.0028248,0.0442785,-0.0490571,0.0360434
AAPL VT3XAXLFEZL2|AAPL R735QTJ8XC9X,AAPL  140816C00047140,46.8000,47.5750,45.0500,45.0750,0,,1.7211084,0.8408622,0.0028587,0.0695079,-0.0275626,0.0569915
AAPL VUTYGTN28IP2|AAPL R735QTJ8XC9X,AAPL  141018C00047140,46.8000,47.5500,45.0000,45.0750,0,,1.5985464,0.7692970,0.0025849,0.1097417,-0.0086968,0.0901190
AAPL VXBK5BXF76AU|AAPL R735QTJ8XC9X,AAPL  150117C00047140,47.0000,47.0000,47.0000,47.0000,0,616,0,0.8293959,0.0000000,0.0000000,0.0646947,0.2802901
AAPL VZS6DQUM32QU|AAPL R735QTJ8XC9X,AAPL  150417C00047140,46.6250,47.9000,45.2000,45.2500,0,,0.2130255,0.7573801,0.0019174,0.0225246,0.0582375,0.3866058
AAPL W78ZF9POZ1K6|AAPL R735QTJ8XC9X,AAPL  160115C00047140,46.7000,47.4500,44.0250,44.3500,0,308,0,0.6074203,0.0000000,0.0000000,0.0471292,0.7414606
AAPL VRKS9PFVSU5I|AAPL R735QTJ8XC9X,AAPL  140621C00047860,46.0500,46.8250,44.2500,44.3250,0,,2.6775083,0.9602834,0.0020182,0.0100122,-0.0924379,0.0097032
AAPL VSCCSBOLXYNA|AAPL R735QTJ8XC9X,AAPL  140719C00047860,46.1500,46.8250,44.3750,44.3750,0,,1.8715302,0.8851948,0.0029208,0.0444963,-0.0463513,0.0367823
AAPL VT3XAXXC3352|AAPL R735QTJ8XC9X,AAPL  140816C00047860,45.9000,46.8500,44.3250,44.3750,0,,0.5734853,0.9425232,0.0005669,0.0045927,0.0715832,0.0831023
AAPL VUTYGTYYWM92|AAPL R735QTJ8XC9X,AAPL  141018C00047860,45.8500,46.8250,44.2750,44.3750,0,,1.5710429,0.7664575,0.0026695,0.1113856,-0.0087590,0.0916431
AAPL VXBK5C9BV9UU|AAPL R735QTJ8XC9X,AAPL  150117C00047860,45.8750,46.6500,43.7250,44.8750,0,63,3.1302032,0.7630835,0.0006658,0.0878770,-0.0028329,0.0442109
AAPL VZS6DR6IR6AU|AAPL R735QTJ8XC9X,AAPL  150417C00047860,46.1000,47.1500,44.4750,44.5750,0,,0.2061169,0.7570460,0.0020366,0.0231489,0.0582014,0.3923828
AAPL VRKS9PRMILNQ|AAPL R735QTJ8XC9X,AAPL  140621C00048570,45.3500,46.1000,43.5500,43.6250,0,,1.6199378,0.9903519,0.0003919,0.0011762,0.0655004,0.0105826
AAPL VSCCSC0CNQ5I|AAPL R735QTJ8XC9X,AAPL  140719C00048570,45.5250,46.0250,43.8000,43.8250,0,518,0,0.9695820,0.0000000,0.0000000,0.0757595,0.0478692
AAPL VT3XAY92SUNA|AAPL R735QTJ8XC9X,AAPL  140816C00048570,45.2000,46.1500,43.6000,43.6500,0,,0.5606072,0.9424299,0.0005918,0.0046873,0.0715661,0.0843304
AAPL VUTYGUAPMDRA|AAPL R735QTJ8XC9X,AAPL  141018C00048570,45.1500,46.1250,43.5500,43.6500,0,,1.5412958,0.7636712,0.0027599,0.1129778,-0.0086509,0.0932712
AAPL VXBK5CL2L1D2|AAPL R735QTJ8XC9X,AAPL  150117C00048570,44.6000,44.6000,44.6000,44.6000,0,609,0,0.8293959,0.0000000,0.0000000,0.0646655,0.2887928
AAPL VZS6DRI9GXT2|AAPL R735QTJ8XC9X,AAPL  150417C00048570,45.3000,46.4750,43.7750,43.8500,0,,0.2033844,0.7555478,0.0023099,0.0259070,0.0579905,0.3970859
AAPL W78ZFADCCWME|AAPL R735QTJ8XC9X,AAPL  160115C00048570,45.1750,46.0250,42.5750,42.9000,0,56,0,0.6074203,0.0000000,0.0000000,0.0471002,0.7639529
AAPL VRKS9Q3J6P7Q|AAPL R735QTJ8XC9X,AAPL  140621C00049290,44.4750,45.2750,42.1250,42.9000,0,7,0,0.9931590,0.0000000,0.0000000,0.0776106,0.0108015
AAPL VSCCSCC9BTPI|AAPL R735QTJ8XC9X,AAPL  140719C00049290,44.7750,45.3250,42.9000,42.9500,0,42,1.5799109,0.8983921,0.0030425,0.0391275,-0.0155773,0.0403256
AAPL VT3XAYKZGY7A|AAPL R735QTJ8XC9X,AAPL  140816C00049290,44.6500,45.4250,42.8250,42.9500,0,,0.5475251,0.9423433,0.0006173,0.0047750,0.0715551,0.0855774
AAPL VUTYGUMMAHBA|AAPL R735QTJ8XC9X,AAPL  141018C00049290,44.6500,45.2750,42.4500,42.9000,0,,1.5103619,0.7608314,0.0028564,0.1145796,-0.0084623,0.0949692
AAPL VXBK5CWZ94X2|AAPL R735QTJ8XC9X,AAPL  150117C00049290,44.2250,45.0250,42.2000,43.1250,0,35,0.9698595,0.6911900,0.0036126,0.1477352,0.0212639,0.1718270
AAPL VZS6DRU651D2|AAPL R735QTJ8XC9X,AAPL  150417C00049290,44.5000,45.6750,43.0000,43.0750,0,,0.1983689,0.7545636,0.0025308,0.0276847,0.0578637,0.4023146
AAPL VRKS93H751JA|AAPL R735QTJ8XC9X,AAPL  140621C00050000,43.2000,43.2000,42.2000,42.2000,2,9,0,0.9931590,0.0000000,0.0000000,0.0775961,0.0109571
AAPL VSCCRPPXA612|AAPL R735QTJ8XC9X,AAPL  140719C00050000,43.8000,43.8000,43.8000,43.8000,0,870,0,0.9695820,0.0000000,0.0000000,0.0757302,0.0492786
AAPL VT3XABYNFAIU|AAPL R735QTJ8XC9X,AAPL  140816C00050000,43.9500,44.7000,42.0250,42.2000,0,,0.5351225,0.9422374,0.0006457,0.0048817,0.0715340,0.0868034
AAPL VUTYG80A8TMU|AAPL R735QTJ8XC9X,AAPL  141018C00050000,43.9500,44.5500,41.7250,42.1750,0,14,0,0.8967538,0.0000000,0.0000000,0.0699667,0.1735192
AAPL VXBK4QAN7H8M|AAPL R735QTJ8XC9X,AAPL  150117C00050000,43.6100,43.6100,42.0000,42.2000,71,7513,0,0.8293959,0.0000000,0.0000000,0.0646362,0.2972954
AAPL VZS6D57U3DOM|AAPL R735QTJ8XC9X,AAPL  150417C00050000,43.5500,44.6750,41.7000,42.3500,0,,0.4750136,0.6515995,0.0058249,0.1525811,0.0390788,0.3035113
AAPL W78ZEO2WZCHY|AAPL R735QTJ8XC9X,AAPL  160115C00050000,44.0000,44.4200,43.5300,43.5300,0,2969,0,0.6074203,0.0000000,0.0000000,0.0470711,0.7864453
AAPL VRKS9QR0M886|AAPL R735QTJ8XC9X,AAPL  140621C00050710,43.2000,43.8500,40.8500,41.4750,0,,1.5178641,0.9901621,0.0004436,0.0012477,0.0655140,0.0110477
AAPL VSCCSCZQRCPY|AAPL R735QTJ8XC9X,AAPL  140719C00050710,43.4750,43.8750,41.5500,41.5500,0,,1.7394819,0.8779495,0.0033407,0.0473012,-0.0455852,0.0389092
AAPL VT3XAZ8GWH7Q|AAPL R735QTJ8XC9X,AAPL  140816C00050710,43.0500,44.0000,41.4250,41.5250,0,,0.5226545,0.9421414,0.0006742,0.0049783,0.0715201,0.0880312
AAPL VUTYGVA3Q0BQ|AAPL R735QTJ8XC9X,AAPL  141018C00050710,43.0000,43.8500,41.0000,41.4750,0,,1.4555155,0.7550156,0.0030472,0.1177954,-0.0083096,0.0980605
AAPL VXBK5DKGONXI|AAPL R735QTJ8XC9X,AAPL  150117C00050710,43.6800,43.6800,43.6800,43.6800,0,72,0,0.8293959,0.0000000,0.0000000,0.0646217,0.3015170
AAPL VZS6DSHNKKDI|AAPL R735QTJ8XC9X,AAPL  150417C00050710,43.1750,44.3250,41.6000,41.6750,0,,0.1898191,0.7518876,0.0030948,0.0323951,0.0575215,0.4120121
