#right,strike,expiry,open,high,low,close,volume,open_interest
,,,3239.5,3244.75,3226,3233,904566,
P,3210,20200320,64.75,65.0,64.5,64.875,0,
P,3220,20200320,67.875,68.0,67.75,67.875,0,
P,3230,20200320,71.0,71.375,70.875,71.125,0,
P,3240,20200320,74.375,74.75,74.375,74.625,0,
P,3250,20200320,78.125,78.5,78.0,78.375,0,
P,3260,20200320,81.875,82.375,81.875,82.125,0,
P,3270,20200320,86.0,86.5,86.0,86.25,0,
P,3280,20200320,90.50,90.875,90.25,90.625,0,
P,3290,20200320,95.25,95.5,94.875,95.25,0,
P,3300,20200320,99.75,100.375,99.75,100.125,0,
P,3310,20200320,105.375,105.625,104.875,105.375,0,
P,3320,20200320,110.875,111.25,110.5,110.875,0,
P,3330,20200320,116.75,117.25,116.125,116.75,0,
P,3340,20200320,123,123.125,123,123,0,
P,3350,20200320,129.625,129.625,129.625,129.625,0,
P,3360,20200320,136.50,136.625,136.50,136.625,0,
P,3370,20200320,143.625,143.75,143.625,143.75,0,
P,3380,20200320,151.125,151.375,151.125,151.375,0,
P,3390,20200320,159.0,159.25,159.0,159.25,0,
