PH R735QTJ8XC9X,PH
PRU SAI0XJNH6IJP,PRU
BBK R735QTJ8XC9X,BBT
BLK ROIDIDJRNXID,BLK
HLT VMCPV8L4GJTX,HLT
PBF VCEB57FOLXET,PBF
APD R735QTJ8XC9X,APD
WAT R735QTJ8XC9X,WAT
PM U1EP4KZP5ROL,PM
STI R735QTJ8XC9X,STI
GRUB VPFZDSX73SYT,GRUB
PCAR R735QTJ8XC9X,PCAR
EXEL RTSESF5CFJHH,EXEL
PNC R735QTJ8XC9X,PNC
RSG RC0E7NDMP55X,RSG
DK TICEJF11TWTH,DK
PSA R735QTJ8XC9X,PSA
CNTE SAI0XJNH6IJP,CNC
MCCRK R735QTJ8XC9X,MKC
AZO R735QTJ8XC9X,AZO
SWK R735QTJ8XC9X,SWK
THO R735QTJ8XC9X,THO
VC R735QTJ8XC9X,VTR
COH RYMOWYW7Z2W5,TPR
NWL R735QTJ8XC9X,NWL
AAOI VK8WG1F4KGH1,AAOI
F R735QTJ8XC9X,F
URI R735QTJ8XC9X,URI
DUK R735QTJ8XC9X,DUK
FAST R735QTJ8XC9X,FAST
INTU R735QTJ8XC9X,INTU
DNB R735QTJ8XC9X,MCO
AET S0JM7II1BW4L,AET
TIF R735QTJ8XC9X,TIF
KNGT R735QTJ8XC9X,KNX
RTNB R735QTJ8XC9X,RTN
FTV WBYCAQZ42Q1X,FTV
SBUX R735QTJ8XC9X,SBUX
HCN R735QTJ8XC9X,WELL
AXP R735QTJ8XC9X,AXP
VEEV VKSLDWQI3JOL,VEEV
PRAH VVJK2NHU61R9,PRAH
HANS R735QTJ8XC9X,MNST
ORLY R735QTJ8XC9X,ORLY
TFX R735QTJ8XC9X,TFX
ZBRA R735QTJ8XC9X,ZBRA
EW RTKJ7O7ZTI79,EW
LLL RAU1ZMNDEP9H,LLL
SO R735QTJ8XC9X,SO
EOG R735QTJ8XC9X,EOG
ADM R735QTJ8XC9X,ADM
LMT R735QTJ8XC9X,LMT
MHK R735QTJ8XC9X,MHK
STT R735QTJ8XC9X,STT
Z R735QTJ8XC9X,FL
MAA R735QTJ8XC9X,MAA
BEL R735QTJ8XC9X,VZ
LULU TUPGLODCEXD1,LULU
BEN R735QTJ8XC9X,BEN
HCA UUS78ZUZC21X,HCA
DKS SIWB68YAO4TH,DKS
MXIM R735QTJ8XC9X,MXIM
NB R735QTJ8XC9X,BAC
PTEN R735QTJ8XC9X,PTEN
PYPL W2CQDXKV7WPX,PYPL
ORCL R735QTJ8XC9X,ORCL
BYA R735QTJ8XC9X,AVB
NLY R735QTJ8XC9X,NLY
IDPH R735QTJ8XC9X,BIIB
SCH R735QTJ8XC9X,SCHW
AHA R735QTJ8XC9X,SWKS
EQT R735QTJ8XC9X,EQT
XON R735QTJ8XC9X,XOM
SYY R735QTJ8XC9X,SYY
PII R735QTJ8XC9X,PII
CMCSA SJTSDFE19S9X,CMCSA
ZMH S6ZZPKTVDY05,ZBH
GOOG T1AZ164W5VTX,GOOGL
DIS R735QTJ8XC9X,DIS
TASR S5BXFVIKPX7P,AAXN
EIX R735QTJ8XC9X,EIX
VMW TV48B2UVK8RP,VMW
XEC SIHJGUGRITET,XEC
LOW R735QTJ8XC9X,LOW
AUD R735QTJ8XC9X,ADP
ADBE R735QTJ8XC9X,ADBE
BRKB R735QTJ8XC9X,BRK.B
HPE W584BQZL94KL,HPE
CDKVV VU4CTSH26TET,CDK
K R735QTJ8XC9X,K
LRCX R735QTJ8XC9X,LRCX
HSY R735QTJ8XC9X,HSY
APA R735QTJ8XC9X,APA
KR R735QTJ8XC9X,KR
CHK R735QTJ8XC9X,CHK
AA WF7IHVI76I5H,AA
FDC W4QEA2EJVJOL,FDC
TSN R735QTJ8XC9X,TSN
HDI R735QTJ8XC9X,HOG
ATUS WLKXNNQJ0AJP,ATUS
CPB R735QTJ8XC9X,CPB
PE R735QTJ8XC9X,EXC
CSX R735QTJ8XC9X,CSX
BK R735QTJ8XC9X,BK
KFT S5HU4FPL6G6D,MDLZ
AGNC U2N08SGALPWL,AGNC
ZION R735QTJ8XC9X,ZION
AMGN R735QTJ8XC9X,AMGN
LGND R735QTJ8XC9X,LGND
HOU R735QTJ8XC9X,CNP
PG R735QTJ8XC9X,PG
GGP UKNVUEIJ0WO5,GGP
ADS S5CWVYVQSODH,ADS
FDX R735QTJ8XC9X,FDX
ON VZHCG4656OV9,ON
DH R735QTJ8XC9X,TGT
ALK R735QTJ8XC9X,ALK
ROST R735QTJ8XC9X,ROST
WLK T133GF7JJUJP,WLK
KEY R735QTJ8XC9X,KEY
FMC R735QTJ8XC9X,FMC
NTAP R735QTJ8XC9X,NTAP
MON RYZHQ6NEYVZ9,MON
ALXN R735QTJ8XC9X,ALXN
CPT R735QTJ8XC9X,CPT
JEC R735QTJ8XC9X,JEC
GPN S1VV43FB2UZP,GPN
KMB R735QTJ8XC9X,KMB
MCK R735QTJ8XC9X,MCK
CHD R735QTJ8XC9X,CHD
SJMA R735QTJ8XC9X,SJM
NAVIV VPSS70OE3M1X,NAVI
DGX R735QTJ8XC9X,DGX
APH R735QTJ8XC9X,APH
IFF R735QTJ8XC9X,IFF
HWP R735QTJ8XC9X,HPQ
AAPL R735QTJ8XC9X,AAPL
ALD R735QTJ8XC9X,HON
CDN R735QTJ8XC9X,CDNS
ELLI UVRNCD1237TX,ELLI
CERN R735QTJ8XC9X,CERN
EQR R735QTJ8XC9X,EQR
MSFT R735QTJ8XC9X,MSFT
JNJ R735QTJ8XC9X,JNJ
CAT R735QTJ8XC9X,CAT
CRZO R735QTJ8XC9X,CRZO
AMZN R735QTJ8XC9X,AMZN
OHI R735QTJ8XC9X,OHI
CME SKAIZ0LWKM05,CME
ODFL R735QTJ8XC9X,ODFL
OXY R735QTJ8XC9X,OXY
AMP TCIOBI43J7MT,AMP
NFLX SEWJWLJNHZDX,NFLX
D R735QTJ8XC9X,D
GILD R735QTJ8XC9X,GILD
HSNI R735QTJ8XC9X,IAC
PCS TRX10524LYZP,TMUS
MWD R735QTJ8XC9X,MS
TTWO R735QTJ8XC9X,TTWO
TSCO R735QTJ8XC9X,TSCO
PCG R735QTJ8XC9X,PCG
AYI S9PGYU1KYMW5,AYI
JNPR RLTVP7P85ZS5,JNPR
SHW R735QTJ8XC9X,SHW
FLT USGI91RMTXET,FLT
QCOM R735QTJ8XC9X,QCOM
GHQ U13V7JYUBGX1,IRDM
ILMN RWQR2INKP0TH,ILMN
GT R735QTJ8XC9X,GT
