#right,strike,expiry,open,high,low,close,volume,open_interest
,,,3240.25,3244.25,3226,3233,378,
P,3210,20200619,110.00,110.375,110.00,110.25,0,
P,3220,20200619,113.25,113.625,113.125,113.5,0,
P,3230,20200619,116.625,116.875,116.50,116.875,0,
P,3240,20200619,120.00,120.375,120.00,120.25,0,
P,3250,20200619,123.75,123.875,123.50,123.875,0,
P,3260,20200619,127.50,127.625,127.25,127.625,0,
P,3270,20200619,131.25,131.625,131.00,131.5,0,
P,3280,20200619,135.25,135.625,135.125,135.5,0,
P,3290,20200619,139.50,139.875,139.375,139.625,0,
P,3300,20200619,143.75,144.125,142.125,144.0,0,
P,3310,20200619,148.375,148.625,148.00,148.5,0,
P,3320,20200619,152.75,153.375,152.75,153.25,0,
P,3330,20200619,157.875,158.25,157.625,158.0,0,
P,3340,20200619,162.875,163.25,162.75,163.125,0,
P,3350,20200619,168.125,168.50,168.00,168.375,0,
P,3360,20200619,173.5,174.00,173.25,173.75,0,
P,3370,20200619,179.25,179.75,179.00,179.5,0,
P,3380,20200619,185,185.50,184.75,185.25,0,
P,3390,20200619,191.25,191.625,190.875,191.375,0,
P,3400,20200619,197.375,197.875,197.375,197.625,0,
