18991230,dc,CME
20160110,dc w7qpgcn4al1d,CME,2
20160110,dc w7qpgcn4al1d,CME,3
20160131,dc w7qpgcn4al1d,CME,1
20160201,dc w7qpgcn4al1d,CME,0
20160229,dc w99uhl4kku0x,CME,1
20160302,dc w99uhl4kku0x,CME,2
20160302,dc w99uhl4kku0x,CME,3
20160328,dc w99uhl4kku0x,CME,0
20160412,dc wa8b4uxh98n5,CME,2
20160412,dc wa8b4uxh98n5,CME,3
20160430,dc wa8b4uxh98n5,CME,1
20160502,dc wa8b4uxh98n5,CME,0
20160529,dc wbrg63exjhmp,CME,2
20160529,dc wbrg63exjhmp,CME,3
20160531,dc wbrg63exjhmp,CME,1
20160627,dc wbrg63exjhmp,CME,0
20160731,dc wcpwtd7u7w8x,CME,1
20160801,dc wcpwtd7u7w8x,CME,0
20160801,dc wcpwtd7u7w8x,CME,2
20160801,dc wcpwtd7u7w8x,CME,3
20160930,dc wefxz99h1fcx,CME,1
20161002,dc wefxz99h1fcx,CME,2
20161002,dc wefxz99h1fcx,CME,3
20161003,dc wefxz99h1fcx,CME,0
20161031,dc wfz30hqxboch,CME,1
20161110,dc wfz30hqxboch,CME,2
20161110,dc wfz30hqxboch,CME,3
20161128,dc wfz30hqxboch,CME,0
20161231,dc wgyj3ux02u4h,CME,1
20170103,dc wgyj3ux02u4h,CME,0
20170103,dc wgyj3ux02u4h,CME,2
20170103,dc wgyj3ux02u4h,CME,3
20170131,dc wigop01aaby9,CME,1
20170202,dc wigop01aaby9,CME,2
20170202,dc wigop01aaby9,CME,3
20170227,dc wigop01aaby9,CME,0
20170331,dc wjf5c9u6yqkh,CME,1
20170402,dc wjf5c9u6yqkh,CME,2
20170402,dc wjf5c9u6yqkh,CME,3
20170403,dc wjf5c9u6yqkh,CME,0
20170403,dc wkz9tlotbqpt,CME,2
20170430,dc wkz9tlotbqpt,CME,1
20170530,dc wkz9tlotbqpt,CME,0
20170531,dc wlpuw4kde41t,CME,1
20170626,dc wlpuw4kde41t,CME,0
20170626,dc wlpuw4kde41t,CME,2
20170626,dc wlpuw4kde41t,CME,3
20170731,dc wmobjeda2io1,CME,0
20170731,dc wmobjeda2io1,CME,2
20170731,dc wmobjeda2io1,CME,1
20170731,dc wmobjeda2io1,CME,3
20170930,dc woecpaeww1s1,CME,1
20171002,dc woecpaeww1s1,CME,0
20171002,dc woecpaeww1s1,CME,2
20171002,dc woecpaeww1s1,CME,3
20171031,dc wpxhqiwd6arl,CME,1
20171109,dc wpxhqiwd6arl,CME,2
20171109,dc wpxhqiwd6arl,CME,3
20171127,dc wpxhqiwd6arl,CME,0
20171220,dc wqwxtw2fxgjl,CME,2
20171220,dc wqwxtw2fxgjl,CME,3
20171231,dc wqwxtw2fxgjl,CME,1
20180102,dc wqwxtw2fxgjl,CME,0
20180118,dc wsf3f16q4ydd,CME,2
20180118,dc wsf3f16q4ydd,CME,3
20180131,dc wsf3f16q4ydd,CME,1
20180226,dc wsf3f16q4ydd,CME,0
20180331,dc wtdk2azmtczl,CME,1
20180401,dc wtdk2azmtczl,CME,2
20180401,dc wtdk2azmtczl,CME,3
20180402,dc wtdk2azmtczl,CME,0
20180430,dc wuxojmu96d4x,CME,1
20180523,dc wuxojmu96d4x,CME,2
20180523,dc wuxojmu96d4x,CME,3
20180529,dc wuxojmu96d4x,CME,0
20180619,dc wvv5qt9zs0ld,CME,2
20180619,dc wvv5qt9zs0ld,CME,3
20180630,dc wvv5qt9zs0ld,CME,1
20180702,dc wvv5qt9zs0ld,CME,0
20180731,dc wxeas1rg29kx,CME,1
20180827,dc wxeas1rg29kx,CME,0
20180827,dc wxeas1rg29kx,CME,2
20180827,dc wxeas1rg29kx,CME,3
20180913,dc wycrfbkcqo75,CME,2
20180913,dc wycrfbkcqo75,CME,3
20180930,dc wycrfbkcqo75,CME,1
20181001,dc wycrfbkcqo75,CME,0
20181116,dc x02sl7lzk7b5,CME,2
20181116,dc x02sl7lzk7b5,CME,3
20181130,dc x02sl7lzk7b5,CME,1
20181203,dc x02sl7lzk7b5,CME,0
20181231,dc x1lxmg3fugap,CME,1
20190111,dc x1lxmg3fugap,CME,2
20190111,dc x1lxmg3fugap,CME,3
20190125,dc x2di52c5zksh,CME,2
20190125,dc x2di52c5zksh,CME,3
20190128,dc x1lxmg3fugap,CME,0
20190131,dc x2di52c5zksh,CME,1
20190225,dc x2di52c5zksh,CME,0
20190331,dc x3bysc52nzep,CME,1
20190401,dc x3bysc52nzep,CME,0
20190401,dc x3bysc52nzep,CME,2
20190401,dc x3bysc52nzep,CME,3
20190531,dc x51zy86phiip,CME,1
20190603,dc x51zy86phiip,CME,0
20190603,dc x51zy86phiip,CME,2
20190603,dc x51zy86phiip,CME,3
20190626,dc x6l4zgo5rri9,CME,2
20190626,dc x6l4zgo5rri9,CME,3
20190630,dc x6l4zgo5rri9,CME,1
20190729,dc x6l4zgo5rri9,CME,0
20190823,dc x7kl2tu8ixa9,CME,2
20190823,dc x7kl2tu8ixa9,CME,3
20190831,dc x7kl2tu8ixa9,CME,1
20190903,dc x7kl2tu8ixa9,CME,0
20190930,dc x92qnyyiqf41,CME,1
20191010,dc x92qnyyiqf41,CME,2
20191010,dc x92qnyyiqf41,CME,3
20191028,dc x92qnyyiqf41,CME,0
20191130,dc xa17b8rfetq9,CME,1
20191202,dc xa17b8rfetq9,CME,0
20191202,dc xa17b8rfetq9,CME,2
20191202,dc xa17b8rfetq9,CME,3
20200124,dc xbr8h4t28cu9,CME,2
20200124,dc xbr8h4t28cu9,CME,3
20200131,dc xbr8h4t28cu9,CME,1
20200203,dc xbr8h4t28cu9,CME,0
20200229,dc xdadidaiiltt,CME,1
20200305,dc xdadidaiiltt,CME,2
20200305,dc xdadidaiiltt,CME,3
20200323,dc xe1y0zj8nqbl,CME,2
20200323,dc xe1y0zj8nqbl,CME,3
20200330,dc xdadidaiiltt,CME,0
20200331,dc xe1y0zj8nqbl,CME,1
20200427,dc xe1y0zj8nqbl,CME,0
20200531,dc xf0eo9c5c4xt,CME,1
20200601,dc xf0eo9c5c4xt,CME,0
20200601,dc xf0eo9c5c4xt,CME,2
20200601,dc xf0eo9c5c4xt,CME,3
20200731,dc xgqfu5ds5o1t,CME,1
20200803,dc xgqfu5ds5o1t,CME,0
20200803,dc xgqfu5ds5o1t,CME,2
20200803,dc xgqfu5ds5o1t,CME,3
20200831,dc xi9kvdv8fx1d,CME,1
20200901,dc xi9kvdv8fx1d,CME,2
20200901,dc xi9kvdv8fx1d,CME,3
20200928,dc xi9kvdv8fx1d,CME,0
20201031,dc xj81ino54bnl,CME,1
20201102,dc xj81ino54bnl,CME,0
20201102,dc xj81ino54bnl,CME,2
20201102,dc xj81ino54bnl,CME,3
20201130,dc xkr6jw5lekn5,CME,1
20201228,dc xkr6jw5lekn5,CME,0
20201228,dc xkr6jw5lekn5,CME,2
20201228,dc xkr6jw5lekn5,CME,3
20210121,dc xlpn75yi2z9d,CME,2
20210121,dc xlpn75yi2z9d,CME,3
20210131,dc xlpn75yi2z9d,CME,1
20210201,dc xlpn75yi2z9d,CME,0
20210228,dc xn8s8efyd88x,CME,1
20210329,dc xn8s8efyd88x,CME,0
20210329,dc xn8s8efyd88x,CME,2
20210329,dc xn8s8efyd88x,CME,3
20210409,dc xo78vo8v1mv5,CME,2
20210409,dc xo78vo8v1mv5,CME,3
20210430,dc xo78vo8v1mv5,CME,1
20210503,dc xo78vo8v1mv5,CME,0
20210531,dc xpqdwwqbbvup,CME,1
20210622,dc xpqdwwqbbvup,CME,2
20210622,dc xpqdwwqbbvup,CME,3
20210628,dc xpqdwwqbbvup,CME,0
20210704,dc xqouk6j80agx,CME,2
20210704,dc xqouk6j80agx,CME,3
20210731,dc xqouk6j80agx,CME,1
20210802,dc xqouk6j80agx,CME,0
20210826,dc xs7zlf0oajgh,CME,2
20210826,dc xs7zlf0oajgh,CME,3
20210831,dc xs7zlf0oajgh,CME,1
20210927,dc xs7zlf0oajgh,CME,0
20211026,dc xt6g8otkyy2p,CME,2
20211026,dc xt6g8otkyy2p,CME,3
20211031,dc xt6g8otkyy2p,CME,1
20211101,dc xt6g8otkyy2p,CME,0
20211224,dc xuwhekv7sh6p,CME,2
20211224,dc xuwhekv7sh6p,CME,3
20211231,dc xuwhekv7sh6p,CME,1
20220103,dc xuwhekv7sh6p,CME,0
20220215,dc xwfmftco2q69,CME,2
20220215,dc xwfmftco2q69,CME,3
20220228,dc xwfmftco2q69,CME,0
20220228,dc xwfmftco2q69,CME,1
20220426,dc xy5nlpeaw9a9,CME,2
20220426,dc xy5nlpeaw9a9,CME,3
20220430,dc xy5nlpeaw9a9,CME,1
20220502,dc xy5nlpeaw9a9,CME,0
20220531,dc xzosmxvr6i9t,CME,1
20220607,dc xzosmxvr6i9t,CME,2
20220607,dc xzosmxvr6i9t,CME,3
20220627,dc xzosmxvr6i9t,CME,0
20220722,dc y0n9a7onuww1,CME,2
20220722,dc y0n9a7onuww1,CME,3
20220731,dc y0n9a7onuww1,CME,1
20220801,dc y0n9a7onuww1,CME,0
20220914,dc y2dag3qaog01,CME,2
20220914,dc y2dag3qaog01,CME,3
20220930,dc y2dag3qaog01,CME,1
20221003,dc y2dag3qaog01,CME,0
20221028,dc y3wfhc7qyozl,CME,2
20221028,dc y3wfhc7qyozl,CME,3
20221031,dc y3wfhc7qyozl,CME,1
20221128,dc y3wfhc7qyozl,CME,0
20221222,dc y4vvkpdtpurl,CME,2
20221222,dc y4vvkpdtpurl,CME,3
20221231,dc y4vvkpdtpurl,CME,1
20230103,dc y4vvkpdtpurl,CME,0
20230215,dc y6f0lxva03r5,CME,2
20230215,dc y6f0lxva03r5,CME,3
20230228,dc y6f0lxva03r5,CME,0
20230228,dc y6f0lxva03r5,CME,1
20230416,dc y832vn6ko4jl,CME,2
20230416,dc y832vn6ko4jl,CME,3
20230430,dc y832vn6ko4jl,CME,0
20230430,dc y832vn6ko4jl,CME,1
20230629,dc y9r55chvc5c1,CME,2
20230629,dc y9r55chvc5c1,CME,3
20230630,dc y9r55chvc5c1,CME,0
20230630,dc y9r55chvc5c1,CME,1
20230831,dc ybg6v56c2xa9,CME,0
20230831,dc ybg6v56c2xa9,CME,2
20230831,dc ybg6v56c2xa9,CME,1
20230831,dc ybg6v56c2xa9,CME,3
20231018,dc yd494uhmqy2p,CME,2
20231018,dc yd494uhmqy2p,CME,3
20231031,dc yd494uhmqy2p,CME,0
20231031,dc yd494uhmqy2p,CME,1
20231221,dc yesbejsxeyv5,CME,2
20231221,dc yesbejsxeyv5,CME,3
20231231,dc yesbejsxeyv5,CME,0
20231231,dc yesbejsxeyv5,CME,1
20240229,dc ygfe85r208ht,CME,0
20240229,dc ygfe85r208ht,CME,1
20240430,dc yi3ghv2co9a9,CME,0
20240430,dc yi3ghv2co9a9,CME,1
20240630,dc yjrirkdnca2p,CME,0
20240630,dc yjrirkdnca2p,CME,1
20240831,dc ylgkhd24320x,CME,0
20240831,dc ylgkhd24320x,CME,1
20241031,dc yn4mr2der2td,CME,0
20241031,dc yn4mr2der2td,CME,1
20241231,dc yosp0ropf3lt,CME,0
20241231,dc yosp0ropf3lt,CME,1
20501231,dc ygfe85r208ht,CME,2
20501231,dc ygfe85r208ht,CME,3
