#expiry,strike,right,open,high,low,close,volume,open_interest
,,,3220.25,3224,3216.25,3223.75,0,
20200320,3470,C,3.125,3.725,2,3.0,0,
20200320,3480,C,2.725,3.35,1.65,2.575,0,
20200320,3490,C,2.40,3.05,1.3,2.275,0,
20200320,3500,C,8.125,8.2,1.90,2.00,0,
20200320,3510,C,2.30,2.45,1.2,1.725,0,
20200320,3520,C,2.10,2.25,1.0,1.525,0,
20200320,3530,C,1.95,2.1,0.825,1.35,0,
20200320,3540,C,1.80,1.95,0.675,1.20,0,
20200320,3550,C,1.55,1.75,0.875,1.05,0,
20200320,3560,C,1.525,1.725,0.75,0.95,0,
20200320,3570,C,1.5,1.6,0.725,0.85,0,
20200320,3580,C,1.4,1.525,0.625,0.75,0,
20200320,3600,C,0.9,0.925,0.6,0.625,0,
20200320,3650,C,0.55,1.15,0.25,0.35,0,
20200320,3700,C,0.475,1.025,0.175,0.225,0,
20200320,3750,C,0.8,1.85,0.25,0.3,0,
20200320,3800,C,0.75,1.8,0.2,0.3,0,
20200320,3850,C,1.8,1.8,0.25,0.25,0,
20200320,3900,C,0.7,1.75,0.2,0.25,0,
20200320,3975,C,0.15,0.15,0.15,0.15,0,
20200320,4000,C,0.15,0.15,0.15,0.15,0,
20200320,4100,C,0.7,1.75,0.15,0.2,0,
20200320,4200,C,1.75,1.75,0.2,0.2,0,
20200320,3000,P,32,37.625,24.875,29.5,0,
20200320,3010,P,31.75,37.625,26.125,30.875,0,
20200320,3020,P,33.25,38.75,27.5,32.25,0,
20200320,3025,P,33.875,39.875,28.25,33.0,0,
20200320,3030,P,34.625,40.375,28.875,33.75,0,
20200320,3040,P,66.375,68.0,30.375,35.25,0,
20200320,3050,P,37.75,43.625,32.125,36.875,0,
20200320,3060,P,39.50,45.5,33.625,38.375,0,
20200320,3070,P,41.25,47.00,35.625,40.125,0,
20200320,3075,P,42.00,48.375,36.625,41.125,0,
20200320,3080,P,43.00,49.00,37.25,41.875,0,
20200320,3090,P,44.875,50.875,39.375,43.875,0,
20200320,3100,P,51.75,58.125,40.625,45.75,0,
20200320,3110,P,71.875,73.75,43.50,47.875,0,
20200320,3120,P,51.0,57.25,45.50,50.0,0,
20200320,3125,P,52.125,58.375,46.5,51.125,0,
20200320,3130,P,53.25,59.375,47.875,52.25,0,
20200320,3140,P,55.625,61.875,50.25,54.375,0,
20200320,3150,P,58.875,64.50,52.625,57.0,0,
20200320,3160,P,60.625,66.875,55.25,59.375,0,
20200320,3170,P,66.75,68.875,57.875,62.00,0,
20200320,3175,P,64.75,71.125,59.375,63.625,0,
20200320,3180,P,96,98.25,57.25,65.25,0,
20200320,3190,P,83,85.25,63.625,67.75,0,
20200320,3200,P,75.375,78.5,66.50,70.75,0,
20200320,3210,P,75.75,82,70.125,74.00,0,
20200320,3220,P,80,83.125,73.625,77.625,0,
20200320,3230,P,83.375,89.25,61.625,81.125,0,
20200320,3240,P,87.25,92.375,81.375,86.375,0,
20200320,3250,P,91.50,98.375,84.75,89.25,0,
20200320,3260,P,95.75,101.50,89.25,93.50,0,
20200320,3270,P,100.375,107,94.25,98.375,0,
20200320,3280,P,105.125,111.875,99.00,103.125,0,
20200320,3290,P,110.375,117.125,104.125,108.375,0,
20200320,3300,P,115.875,122.375,109.625,113.875,0,
20200320,3310,P,121.625,128.125,115.25,119.125,0,
20200320,3320,P,127.625,134.50,121.25,125.5,0,
20200320,3330,P,134.0,140.75,127.875,131.875,0,
20200320,3340,P,140.875,147.625,134.375,138.5,0,
20200320,3350,P,148,154.625,141.25,145.25,0,
20200320,3360,P,155.375,162.125,148.75,153.0,0,
20200320,3370,P,163.25,174.00,152.00,160.625,0,
20200320,3380,P,171.25,182.00,160.00,169.25,0,
20200320,3390,P,179.625,190.50,167.75,176.375,0,
